word,part_of_speech,chinese_meaning,english_definition,example_sentence,synonyms,antonyms,memory_hint,difficulty_level,frequency_level,source_book_chapter
indifferent,adj.,漠不關心的,having no interest in sb/sth; neither for nor against sb/sth; not caring about sb/sth,She was indifferent to the news of her ex-boyfriend's engagement. 她對前男友訂婚的消息毫不在意。,,,,3,3,Mason 2000 PDF page 111 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
indigent,adj.,貧困的、貧窮的,poor,The organization provides free meals to indigent families in the community. 該組織向社區中的貧困家庭提供免費的餐食。,,,in(=not) + dig(挖 → 錢包挖不出錢 → 貧困的,1,1,Mason 2000 PDF page 111 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
indulgent,adj.,縱容的、溺愛的,"willing to allow excessive leniency, generosity, or consideration",She was perhaps a bit too indulgent with her children. 她可能對她小孩有點過於縱容,,,,4,4,Mason 2000 PDF page 111 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
industrious,adj.,勤奮的、勤勞的,hard-working; diligent,an industrious worker,assiduous;bustling;diligent;engaged;laborious;occupied;sedulous,,,3,3,Mason 2000 PDF page 111 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
inhibit,v.,約束、壓抑、抑制,sb prevent sb from doing sth that should be natural or easy to do,You shouldn't allow fear of failure to inhibit you. 你不能讓失敗的恐懼約束你,encumber;hamper;hold back;impede;manacle;obstruct;shackle;stymie;tie up,,,5,5,Mason 2000 PDF page 111 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
inquisitive,adj.,好奇的、愛鑽研的,fond of inquiring into other people's affairs,"As a child, she was always very inquisitive, constantly asking questions about the world around her. 她小時候就非常好奇，總是 詢問對周遭的世界的問題。",curious;nosy;prying;snoopy,,,3,3,Mason 2000 PDF page 111 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
intelligible,adj.,可理解的,that can be understood,He is good at making complex concepts intelligible to the average reader. 他很擅長於使得複雜概念讓一般讀者可理解,accessible;apprehensible;comprehensible;fathomable;graspable;scrutable,,,5,5,Mason 2000 PDF page 111 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
interplay,n.,交互作用、相互影響,way in which two or more things have an effect on each other; interaction,The interplay between the main characters 主要演員間的交互作用 in the movie creates a dynamic and engaging storyline.,,,,3,3,Mason 2000 PDF page 111 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
intrinsic,adj.,本質的、固有的；內在的,"belonging naturally; existing within, not coming from outside",the intrinsic worth of a gem 寶石本質上的價值,,,,5,5,Mason 2000 PDF page 112 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
inure,,使習慣於、使適應於,,,,,,1,1,Mason 2000 PDF page 112 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
invective,n.,惡言；謾罵 謾罵的,violent attack in words; abusive language,The coach's invective towards the team after their poor performance was so harsh that some players were in tears. 團隊差勁表現 後，教練的惡言如此嚴厲讓很多球員都流了淚,vituperation;diatribe,,,1,1,Mason 2000 PDF page 112 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
inveigle,v.,哄騙、誘騙,sb into sth/doing sth persuade sb to go somewhere or do sth by using flattery and deception,,,,,1,1,Mason 2000 PDF page 112 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
irenic,,和平的,,Germany has enjoyed a long summer living well and gladly under Mrs Merkel's irenic inaction. - The Economist,,,Eirene 和平女神,4,4,Mason 2000 PDF page 112 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
jejune,adj.,枯燥無味的,(of writings) dull and uninteresting; unsatisfying to the mind,His presentation was jejune and lacked substance. Translation: 他的演講乏味而缺乏實質內容,,,JJ(機經)很枯燥乏味,1,1,Mason 2000 PDF page 112 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
jeopardize,,危及,put in danger,jeopardize his baseball career,,,,4,4,Mason 2000 PDF page 112 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
jettison,v.,拋棄,to get rid of as superfluous or encumbering : omit or forgo as part of a plan or as the result of some other decision,"With his ship rapidly sinking, the captain ordered a last-ditch (已無退路的) jettison of much of its cargo.",,,（船舶等在緊急情況時）投棄的貨物,1,1,Mason 2000 PDF page 112 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
jubilant,adj.,歡騰的、興高采烈的,"(about/at/over sth) showing great happiness, esp because of a success",The local wheelmen are jubilant over the fact that their new bicycle track is nearing completion.,,,,1,1,Mason 2000 PDF page 112 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
knotty,adj.,難解決的、棘手的,so full of difficulties and complications as to be likely to defy solution,"Taiwan President said patience, persistence and in-depth exchanges are the best ways for Taipei and Beijing to resolve any knotty issues in their relationship.",,,n. knot 結,2,2,Mason 2000 PDF page 112 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
lament,v.,抱怨；哀悼、悲嘆,(for/over sb/sth) feel or express great sorrow or regret for (sb/sth),to lament one's dead friend 哀悼亡友,mourn;deplore;wail,,,4,4,Mason 2000 PDF page 112 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
languish,v.,焦思；長期受苦；變得衰弱、漸漸衰退、悶悶不樂,lack or lose vitality,"She continued to languish in the hospital bed, waiting for a heart transplant. 她繼續在醫院床上苦苦等待心臟移植。",,,languid(無精打采的)音讀「懶鬼」 → languid(動詞)使衰弱,1,1,Mason 2000 PDF page 112 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
latent,adj.,潛伏的、潛在的,"existing but not yet active, developed or visible; appling to a power or quality that has not yet come forth but may emerge",The artist's latent talent 潛在的才華 was only discovered after 40 years.,,,音讀「拉登」 → 賓拉登是潛伏的,4,4,Mason 2000 PDF page 112 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
lavish,adj.,大方的、慷慨給予的,(in doing sth) giving or producing generously or in large quantities,"The couple threw a lavish wedding with a gourmet menu, live band, and elegant decorations. 這對夫婦舉辦了一場豪華的婚禮 ，有美食佳肴、現場樂隊和精美的裝飾。",excessive;exorbitant;extravagant;immoderate,,,3,3,Mason 2000 PDF page 112 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
lax,adj.,鬆散的、不嚴格的 花錢,not sufficiently strict or severe; negligent 3lay out,Facebook's lax data-privacy rules They had already laid out a substantial sum for the wedding. 為婚禮花費了很多錢 We'll need to lay out a lot of money to buy all the materials for the project. 花很多錢買材料,careless;derelict;disregardful;neglecting;negligent;remiss;slack,,,3,3,Mason 2000 PDF page 112 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
layperson,,門外漢、外行,,The website would be easy enough for layperson to understand and navigate. 這網站會夠簡單讓門外漢都能了解和瀏覽,,,,4,4,Mason 2000 PDF page 112 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
lethal,adj.,致命的、危險的,causing or able to cause death,Israel has been widely criticized for using lethal force against largely unarmed protesters. — NBC News,,,,3,3,Mason 2000 PDF page 113 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
lethargic,adj.,瞌睡的、愛睡的,feeling a lack of energy or a lack of interest in doing things,"I have been quite lethargic lately under the influence of the medicine,. 在藥物的影響下，我近來很嗜睡",somnolent,,,5,5,Mason 2000 PDF page 113 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
limpid,adj.,清澈的、透明的,clear; transparent,limpid prose,pellucid,murky(陰暗的),,1,1,Mason 2000 PDF page 113 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
lionize,v.,v. 視為上賓、視為重要人物,assign great social importance to,She was lionized everywhere after her novel won the Pulitzer Prize.,,,lion為正面形象(獅子王辛巴)，變為獅子即捧為上賓,4,4,Mason 2000 PDF page 113 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
list,v.,v. 傾斜,"to tilt to one side; especially, of a boat or ship : to tilt to one side in a state of equilibrium","if a ship lists, it leans to one side",,,,3,3,Mason 2000 PDF page 113 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
loath,adj.,不願意的；不情願的 be loath to,unwilling to do something contrary to one's ways of thinking : RELUCTANT,She was loath to admit her mistakes. // Politicians have been loath to listen to their concerns.,,,,5,5,Mason 2000 PDF page 113 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
loathe,v.,痛恨,feel great hatred or disgust for (sb/sth),They were rivals who truly loathed each other.,,,,5,5,Mason 2000 PDF page 113 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
lopsided,,傾向一邊的、不平衡的；一面倒的,,Pitt topples Maryland Eastern Shore in lopsided win.,,,,3,3,Mason 2000 PDF page 113 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
lugubrious,adj.,悲傷的（尤指誇張地）、憂鬱的,dismal; mournful,his face looked even more lugubrious than usual 他的臉顯得比平常更加憂鬱悲傷,,,lugu音讀「露骨」 → 骨折露骨 → 悲傷的,5,5,Mason 2000 PDF page 113 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
lull,v.,使入睡、暫停,sb/sth (to sth) make (a person or an animal) quiet or less active; soothe sb/sth,,,,lullaby,1,1,Mason 2000 PDF page 113 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
malinger,v.,裝病,to pretend or exaggerate incapacity or illness (as to avoid duty or work),"He was suspected of malinger ing to avoid work, but it turned out that he was genuinely ill. 他被懷疑裝病逃避工作，但事實證 明他真的病了。",,,沒人格,1,1,Mason 2000 PDF page 113 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
malleable,adj.,可塑的、展延的,that can be beaten or pressed into different shapes easily,Digital technology is the most malleable resource at the world’s disposal to overcome constraints - Microsoft CEO Satya Nadella,,,,3,3,Mason 2000 PDF page 113 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
manifest,adj.,明顯的、顯而易見的,(fml ) clear and obvious,His love for literature is manifest in his large library.,obvious;apparent,,,1,1,Mason 2000 PDF page 113 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
mawkish,adj.,過度感傷的、多愁善感的,sentimental in a feeble or sickly way,The movie's mawkish ending was criticized for being overly sentimental and unrealistic. 這部電影過於感傷的結局被批評為過 分情緒化和不現實。,,,音讀「馬克」 → 時常靠腰 → 過度感傷的、多愁善感的,1,1,Mason 2000 PDF page 113 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
meager,,瘦的、粗劣的、不足的,deficient in quality or quantity,meabusiness investmen grew at a meager 0.8% annual rate 商業投資僅成長0.8%; He could not support his family on his meager salary. 他靠微薄的薪資無法養家,insufficient 不足的;不夠的,,,2,2,Mason 2000 PDF page 114 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
meander,v.,迂迴曲折、閒晃、漫步,"follow a winding course, flowing slowly",a leisurely meander 悠閒的漫步,,,,1,1,Mason 2000 PDF page 114 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
melancholy,n.,憂鬱；憂思；憂鬱的,deep sadness which lasts for some time; depression,sang in a melancholy voice,,,,3,3,Mason 2000 PDF page 114 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
mercurial,adj.,反覆無常的,"(of people or their moods, etc) often changing",a mercurial temper 反覆無常的脾氣,capricious;fickle,,字源於mercury (n.水銀)，流動性強 -> 善變的,4,4,Mason 2000 PDF page 114 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
meretricious,adj.,俗氣的、浮華的,apparently attractive but in fact valueless,what we value today could become meretricious and tawdry 俗氣質劣的 tomorrow. The measures by which we gauge 測量、評 判 excellence in any art always shift. - Major Jackson,,,,2,2,Mason 2000 PDF page 114 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
meticulous,adj.,小心翼翼的、一絲不苟的,giving or showing great precision and care; very attentive to detail,a meticulous researcher,,,,5,5,Mason 2000 PDF page 114 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
modicum,n.,些許,small or moderate amount of sth,had only a modicum of mathematical skills,,,摸地看,2,2,Mason 2000 PDF page 114 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
momentary,adj.,瞬間的,lasting for a very short time,a momentary hesitation 一瞬的猶豫,transient;transitory,,,3,3,Mason 2000 PDF page 114 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
momentous,adj.,重大的，重要的,very important; serious,Momentous reform to keep inflation in check.,important;consequential,inconsequential;inconsiderable;insignificant,,2,2,Mason 2000 PDF page 114 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
morose,adj.,悶悶不樂的、陰鬱的,"very unhappy, bad-tempered and silent; sullen",,saturnine(憂鬱的;陰沉的),cheerful;lighthearted;sanguine;jovial;jocund,,5,2,Mason 2000 PDF page 114 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
motley,adj.,雜色的、五顏六色的,of many different types of people or things,,,,,1,1,Mason 2000 PDF page 114 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
mundane,adj.,平凡的、乏味的,ordinary and typically unexciting,"mundane chores, like washing dishes",prosaic;pedestrian,,,5,5,Mason 2000 PDF page 114 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
nadir,n.,最低點,point in the heavens directly beneath an observer,"After a series of failed business ventures and personal struggles, the singer's career hit its nadir with the release of his latest album. 這位歌手經歷了一系列失敗的商業冒險和個人掙紮後，他的職業生涯在最新專輯的發布時達到了低谷。",,zenith(最高點);acme(頂點);summit(頂點),那樣的低 → 最低點,1,1,Mason 2000 PDF page 114 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
naysayer,,反對者、唱反調的人,,,,,,1,1,Mason 2000 PDF page 114 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
nebulous,adj.,模糊的,"INDISTINCT, VAGUE",have a few nebulous ideas,,,源於nebula(星雲) → 朦朧的星團 → 模糊的,3,3,Mason 2000 PDF page 114 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
nepotism,n.,任人唯親、裙帶關係,"practice among people with power or influence of favouring their own relatives, esp by giving them jobs",Nepotism is a common practice in many small family-owned businesses. 小家族企業常見裙帶關係,,,nepot(=nephew侄子) → 任用侄子 → 任人唯親,3,3,Mason 2000 PDF page 114 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
nuance,n.,細微差異,"subtle difference in meaning, colour, feeling, etc",nuances of language,shading,,,5,5,Mason 2000 PDF page 115 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
numinous,adj.,神祕的；神聖的；超自然的,"SUPERNATURAL, MYSTERIOUS; filled with a sense of the presence of divinity : HOLY","""The ancient temple was a numinous place, with its dimly lit halls, burning incense, and the feeling of the divine that seemed to permeate every corner. 古老的寺廟是一個神聖的場所，其昏暗的大廳、燃燒的香煙和彷彿滲透每個角落的神聖氛圍， 使它成為一個神秘而崇敬的場所。",mystic;occult;weird,,,1,1,Mason 2000 PDF page 115 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
obeisance,n.,尊重、敬禮,deep bow (of respect or obedience),The prince demanded that all visitors pay obeisance to him by bowing low before him. 王子要求所有的訪客都向他深深地鞠躬 表示敬意。,,,obey,1,1,Mason 2000 PDF page 115 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
oblique,adj.,斜的、間接的、不坦率的,not straightforward : INDIRECT; not horizontal or vertical; sloping; slanting,She made several oblique references to the current financial situation. 拐彎抹角地提及目前的財務狀況,,,,3,3,Mason 2000 PDF page 115 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
oblivious,adj.,未察覺的；健忘的,of/to sth unaware of or not noticing sth; having no memory of sth,"The manager kept reading, entirely oblivious of his wife's presence. 經理繼續念他的書，完全沒注意到他太太在那兒 // Mother has become quite oblivious after the illness. 這次病後，媽媽變得特別健忘",,,,4,4,Mason 2000 PDF page 115 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
odious,adj.,可憎的、可惡的,disgusting; hateful,,detestable,,odi︰奧迪，ous 多 → 他有很多奧迪 → 可惡的,5,2,Mason 2000 PDF page 115 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
officious,adj.,好管閒事的、愛發命令的、愛給忠告的,"too ready or willing to give orders, offer advice or help, or use one's authority; bossy and interfering",,,,形近officer(官員) → 官字兩個口 → 愛管閒事的,5,2,Mason 2000 PDF page 115 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
opprobrium,n.,譴責；辱罵 opprobrious 譴責的,public disgrace and shame,The bombing of the church was met with widespread opprobrium. 轟炸教堂受到廣大的責難,infamy;reproach;shame,,oppo 手機品質受到責難 (純屬虛構),5,5,Mason 2000 PDF page 115 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
ordeal,n.,考驗、苦難、折磨,difficult or painful experience,,,,,5,2,Mason 2000 PDF page 115 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
oscillate,v.,擺動、搖擺,move repeatedly and regularly from one position to another and back again,The stock market has been oscillating between gains and losses for the past week. 股市在過去一周內一直在漲跌之間搖擺不 定。,,,,1,1,Mason 2000 PDF page 115 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
ostensible,adj.,外表的、假裝的,stated though perhaps not true; apparent,an ostensible motive(表面上的動機),apparent(表面上的);plausible(似乎是真的);specious(似是而非的),actual,,5,5,Mason 2000 PDF page 115 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
ostentatious,adj.,誇耀的、賣弄的,showing or liking ostentation,ostentatious clothing,pretentious;showy,,o(音讀「喔」) + sten(音讀「史丹佛」 → 到處跟人說自己念史丹佛 → 炫耀的,1,1,Mason 2000 PDF page 115 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
oust,v.,驅逐,"sb (fml ) remove sb (from a position, job, etc) sometimes in order to take his place",,expel;banish,,,1,1,Mason 2000 PDF page 115 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
outgrowth,n.,長出；自然結果；產物；副產品,a process or product of growing out,an outgrowth of hair,,,片語 grow out of的組合字,1,1,Mason 2000 PDF page 115 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
overarching,,包含所有的、支配一切的,including or influencing every part of something,overarching plan 全面性計畫,,,,3,3,Mason 2000 PDF page 115 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
overbearing,adj.,專橫的、好指使人的、傲慢的；至關重要的,forcing others to do what one wants (without caring about their feelings); domineering; decisively important : DOMINANT,"one ""overbearing"" woman has sparked furious debate online after she revealed she has restricted her boyfriend's gaming habit to just ""one hour per day"". - Lydia Hawken",,,,3,3,Mason 2000 PDF page 115 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
override,v.,否決、不顧、使無效,": to prevail over : DOMINATE; disregard or set aside (sb's opinions, etc)",panic overrode everything else 恐慌壓過了一切,trample(踩踏;無視),,,4,4,Mason 2000 PDF page 116 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
overwrought,adj.,過於緊張的；過度激動的,"in a state of nervous excitement, anxiety, etc; tense and upset",She was so tired and overwrought that she burst into tears.,,,overwork (使過度工作、使過度勞累) 的過去分詞,1,1,Mason 2000 PDF page 116 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
palliative,,緩和的、治標不治本的,,"palliative care 安寧緩和醫療 Planning for the end The data scientists partnered with Penn's palliative care program to develop Palliative Connect. — Ian Haydon, Philly.com",,,,3,3,Mason 2000 PDF page 116 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
panacea,n.,萬靈藥,remedy for all diseases or troubles,,,,,5,5,Mason 2000 PDF page 116 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
paradigm,n.,範例、典範,set of all the different forms of a word,… regard science as the paradigm of true knowledge — G. C. J. Midgley,,,,5,5,Mason 2000 PDF page 116 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
parochial,adj.,狹隘的、地方性的,of or relating to a church parish,Legislators' political instincts were innately parochial. 立法委員天性在乎地方利益,provincial;narrow,,,4,4,Mason 2000 PDF page 116 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
parsimonious,adj.,吝嗇的、過於儉省的,very careful in spending money or using resources; mean,She's too parsimonious to eat healthily.,,profligate(肆意揮霍的),音讀：怕死money → 害怕花錢 → 吝嗇的,5,5,Mason 2000 PDF page 116 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
paucity,n.,少數、缺乏,(fml ) smallness of number or quantity,There is a paucity of evidence on the effects of class size on pupils' learning. 缺乏教室規模影響小學生學習效果的證據,scarcity,profusion(大量);plethora(過剩),,5,5,Mason 2000 PDF page 116 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
peculiar,,奇怪的、罕見的、古怪的,,Peculiar Children 怪奇孤兒院 // the soup had a peculiar taste or smell 這湯有股怪味 // He looked at me with a very peculiar expression. 他用一種奇特的眼神看著我,aberrant;abnormal;anomalous;atypical;odd;singular,,,5,5,Mason 2000 PDF page 116 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
peevish,adj.,易怒的、乖戾的、壞脾氣的,easily annoyed (esp by unimportant things); irritable,peevish mood(乖戾的脾氣),irritable;querulous;fretful;fractious,,哈利波特內的皮皮鬼(Peeves),2,2,Mason 2000 PDF page 116 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
penurious,adj.,吝嗇的,very poor,,stingy,,pen(錢) + ruious → 缺錢的 → 吝嗇的,5,2,Mason 2000 PDF page 116 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
permeate,v.,滲入、通過,sth (fml ) enter sth and spread to every part,a permeable membrane 能穿透的膜,penetrate;permeable = porous,,,1,1,Mason 2000 PDF page 116 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
perquisite,n.,額外補貼、臨時津貼,(fml ) (infml perk) money or goods given or regarded as a right in addition to one's pay,,,,,1,1,Mason 2000 PDF page 116 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
persistent,adj.,堅持不懈的；持續的,refusing to give up; continuing without change in function or structure,a persistent salesman 一個持續不懈的銷售員 // There's been persistent political and law enforcement dysfunction in Baltimore 有持續的政治和執法上的運作不良,,,,4,4,Mason 2000 PDF page 116 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
philistine,n.,庸俗的人；不懂藝術的人、沒有教養的人,"person who has no interest in or understanding of the arts, or is hostile to them; uncultured person",It is a fact of philistine life that amusement is where the money is. — William H. Gass,,,,3,3,Mason 2000 PDF page 116 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
phlegmatic,adj.,冷靜的、沉着的,calm and even-tempered; showing the quality of phlegm,phlegmatic attitude 冷靜的態度,apathetic;impassive;numb;stoic,,,3,3,Mason 2000 PDF page 116 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
physiological,,生理的、生理學的,,,,,,2,2,Mason 2000 PDF page 116 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
pigeonhole,,鴿舍出入口、分類,,,,,,1,1,Mason 2000 PDF page 116 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
pilferage,,偷竊、竊盜行為,,,,,,1,1,Mason 2000 PDF page 116 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
plaintive,adj.,悲哀的、哀傷的,sounding sad; sorrowful,a plaintive sigh 哀怨地嘆氣,melancholy 憂鬱的,,,4,4,Mason 2000 PDF page 117 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
plastic,,可塑的、易受影響的,,,,,,3,3,Mason 2000 PDF page 117 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
poignant,adj.,味道濃烈的、令人傷心的、令人充滿同情的,"affecting one's feelings deeply, making one sad, full of pity, etc",a poignant perfume/ The photograph was a poignant reminder of her childhood.,piercing,,,1,1,Mason 2000 PDF page 117 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
polemical,adj.,引起爭論的；爭論的、辯論的,controversial; disputatious,a polemical essay || The book was criticized for its polemical tone and lack of objectivity. 這本書因其好爭的語氣和缺乏客觀 性而受到批評。,polemic;controversial,conciliatory(撫慰調和的),,5,5,Mason 2000 PDF page 117 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
pragmatic,adj.,務實的,treating things in a sensible and realistic way; concerned with practical results,the pragmatic approach to problems,,,,5,5,Mason 2000 PDF page 117 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
prerequisite,adj.,不可缺的、事先需要的,something that is necessary to an end or to the carrying out of a function,Patience and perseverance are prerequisites to success. 耐心與毅力是成功的前提,,,,5,5,Mason 2000 PDF page 117 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
presage,v.,預言,": to give an omen or warning of : FORESHADOW; FORETELL, PREDICT",And nothing in her life presaged the troubles that would befall her years later.,augur;call;forecast;foretell;predict;prognosticate;prophesy,,sage 智者,3,3,Mason 2000 PDF page 117 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
pretentious,adj.,矯揉做作的；自命不凡的,claiming merit or importance; pompous or showy,"Oddly, the word ""pretentious"" sounds pretentious. 矯揉做作聽起來很矯揉做作 That pretentious couple always serves caviar at their parties, even though they themselves dislike it. 矯揉做作的couple總在自己的派對提供魚子醬，即便他們自己都很討厭它",n. pretension 自負;做作,,,5,5,Mason 2000 PDF page 117 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
prickly,,易怒的,very irritable ; having or covered with protective barbs or quills or spines or thorns etc.,,,,,1,1,Mason 2000 PDF page 117 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
prodigy,n.,神童,person with unusual or remarkable qualities or abilities,,,,,1,1,Mason 2000 PDF page 117 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
propensity,n.,傾向、習性,(for doing/to do sth) (fml ) inclination or tendency,She's inherited from her father a propensity to talk too much. 遺傳自他爸的多話的傾向,proclivity,,,3,3,Mason 2000 PDF page 117 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
protean,adj.,變化不定的、變化多端的,that can change quickly and easily; variable ;,The actor's protean talents allowed him to convincingly portray a wide range of characters throughout his career. 這位演員多才多 藝，使他能在演藝生涯中逼真地扮演各種角色。,,,protein 蛋白質 → 蛋白質容易變質 → 變化多端,2,2,Mason 2000 PDF page 117 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
provincial,adj.,省的；偏狹的,"of or concerning the regions outside the capital city of a country, especially when regarded as unsophisticated or narrow- minded.",The whole exhibition struck one as being very provincial. 整個展覽讓人有非常偏狹的印象 (strike = impress),parochial;insular,,省(province)相較於市較為鄉下,4,4,Mason 2000 PDF page 117 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
puerile,adj.,幼稚的、孩子氣的、天真的、未成熟的,showing immaturity; childish and silly,His puerile behavior during the meeting was unprofessional and inappropriate. 他在會議期間的幼稚行為是不專業和不適當 的。,,sagacious(精明的);mature(成熟的),puer(=pure) + ile → 純潔的 → 幼稚的,1,1,Mason 2000 PDF page 117 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
qualify,v.,使有資格、限制；限縮主張,"(sb) (for/as sth) have or give (sb) the qualities, training, etc that are necessary or suitable (for sth)","I'd like to qualify my criticisms of the school's failings, by adding that it's a very happy place.",,,,5,5,Mason 2000 PDF page 117 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
quandary,n.,困惑、為難,state of not being able to decide what to do; awkward or difficult situation,"I've had two job offers, and I'm in a real quandary about which one to accept. 身陷兩難",catch-22;dilemma,,"based on Latin quando ""when? at what time?",2,2,Mason 2000 PDF page 117 / 字根 vulg 普通 / 提示 vulgar 粗俗的、下流的
